innings,team,wicket_number,player_out,score,over
1,Kolkata Knight Riders,1,TL Seifert,3,2.6
1,Kolkata Knight Riders,2,AM Rahane,16,4.4
1,Kolkata Knight Riders,3,A Raghuvanshi,27,5.6
1,Kolkata Knight Riders,4,R Powell,31,7.1
1,Kolkata Knight Riders,5,C Green,73,11.5
1,Kolkata Knight Riders,6,AS Roy,73,11.6
1,Kolkata Knight Riders,7,Ramandeep Singh,93,15.6
2,Lucknow Super Giants,1,MR Marsh,8,2.1
2,Lucknow Super Giants,2,AK Markram,65,11.2
2,Lucknow Super Giants,3,RR Pant,78,13.2
2,Lucknow Super Giants,4,N Pooran,89,14.6
2,Lucknow Super Giants,5,MD Choudhary,93,16.2
2,Lucknow Super Giants,6,A Badoni,120,18.3
2,Lucknow Super Giants,7,GF Linde,129,19.2
2,Lucknow Super Giants,8,Himmat Singh,148,20.3
