match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2014-04-18,Chennai Super Kings,Sheikh Zayed Stadium,4.0,0,47,0,11.75,6,0,1
7,2014-04-20,Rajasthan Royals,Sharjah Cricket Stadium,4.0,0,29,1,7.25,11,0,1
9,2014-04-22,Sunrisers Hyderabad,Sharjah Cricket Stadium,4.0,0,26,2,6.5,12,0,2
15,2014-04-26,Kolkata Knight Riders,Sheikh Zayed Stadium,3.2,0,22,2,6.6,11,1,0
18,2014-04-28,Royal Challengers Bangalore,Dubai International Cricket Stadium,4.0,0,19,2,4.75,12,0,1
22,2014-05-03,Mumbai Indians,Wankhede Stadium,4.0,0,37,0,9.25,11,2,0
29,2014-05-07,Chennai Super Kings,Barabati Stadium,4.0,0,37,2,9.25,9,0,0
31,2014-05-09,Royal Challengers Bangalore,M Chinnaswamy Stadium,4.0,0,25,1,6.25,12,0,0
34,2014-05-11,Kolkata Knight Riders,Barabati Stadium,3.0,0,33,0,11.0,5,0,0
39,2014-05-14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",4.0,0,26,0,6.5,11,3,0
55,2014-05-25,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",3.1,1,27,2,8.53,9,0,0
57,2014-05-27,Kolkata Knight Riders,Eden Gardens,4.0,0,31,2,7.75,10,2,0
59,2014-05-30,Chennai Super Kings,Wankhede Stadium,4.0,0,44,1,11.0,8,3,1
60,2014-06-01,Kolkata Knight Riders,M Chinnaswamy Stadium,4.0,0,41,2,10.25,8,2,0
