match_number,date,opponent,venue,result,margin
3,2016-04-11,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 5 wickets
6,2016-04-14,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,won,by 7 wickets
9,2016-04-16,Mumbai Indians,Wankhede Stadium,won,by 3 wickets
15,2016-04-21,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,lost,by 10 wickets
19,2016-04-24,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,won,by 6 wickets
23,2016-04-27,Delhi Daredevils,Feroz Shah Kotla,won,by 1 runs
25,2016-04-29,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,won,by 3 wickets
28,2016-05-01,Kings XI Punjab,Saurashtra Cricket Association Stadium,lost,by 23 runs
31,2016-05-03,Delhi Daredevils,Saurashtra Cricket Association Stadium,lost,by 8 wickets
34,2016-05-06,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
38,2016-05-08,Kolkata Knight Riders,Eden Gardens,won,by 5 wickets
44,2016-05-14,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 144 runs
51,2016-05-19,Kolkata Knight Riders,Green Park,won,by 6 wickets
54,2016-05-21,Mumbai Indians,Green Park,won,by 6 wickets
57,2016-05-24,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 4 wickets
59,2016-05-27,Sunrisers Hyderabad,Feroz Shah Kotla,lost,by 4 wickets
