innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Chennai Super Kings,MEK Hussey,63,45,3,3,140.0,c A Mithun b J Syed Mohammad,1
1,Chennai Super Kings,M Vijay,95,52,4,6,182.69,c DL Vettori b S Aravind,2
1,Chennai Super Kings,MS Dhoni,22,13,0,2,169.23,c V Kohli b S Aravind,3
1,Chennai Super Kings,SK Raina,8,5,0,1,160.0,b CH Gayle,4
1,Chennai Super Kings,JA Morkel,2,4,0,0,50.0,c V Kohli b CH Gayle,5
1,Chennai Super Kings,DJ Bravo,6,1,0,1,600.0,not out,7
2,Royal Challengers Bangalore,MA Agarwal,10,5,2,0,200.0,b R Ashwin,1
2,Royal Challengers Bangalore,CH Gayle,0,3,0,0,0.0,c MS Dhoni b R Ashwin,2
2,Royal Challengers Bangalore,V Kohli,35,32,1,1,109.38,lbw b SK Raina,3
2,Royal Challengers Bangalore,AB de Villiers,18,12,3,0,150.0,lbw b SB Jakati,4
2,Royal Challengers Bangalore,LA Pomersbach,2,3,0,0,66.67,c & b SB Jakati,5
2,Royal Challengers Bangalore,SS Tiwary,42,34,1,3,123.53,not out,6
2,Royal Challengers Bangalore,DL Vettori,0,1,0,0,0.0,c & b R Ashwin,7
2,Royal Challengers Bangalore,A Mithun,11,8,2,0,137.5,c DE Bollinger b DJ Bravo,8
2,Royal Challengers Bangalore,Z Khan,21,21,2,0,100.0,c MEK Hussey b DE Bollinger,9
2,Royal Challengers Bangalore,J Syed Mohammad,2,2,0,0,100.0,not out,10
