match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
3,2019-03-24,Mumbai Indians,Wankhede Stadium,43,36,4,1,119.44,c SA Yadav b HH Pandya,2
5,2019-03-26,Chennai Super Kings,Arun Jaitley Stadium,51,47,7,0,108.51,c SN Thakur b DJ Bravo,2
10,2019-03-30,Kolkata Knight Riders,Arun Jaitley Stadium,16,8,2,1,200.0,c AD Russell b PP Chawla,2
13,2019-04-01,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,30,25,4,0,120.0,lbw b R Ashwin,2
16,2019-04-04,Sunrisers Hyderabad,Arun Jaitley Stadium,12,14,1,0,85.71,c Sandeep Sharma b Mohammad Nabi,2
20,2019-04-07,Royal Challengers Bangalore,M.Chinnaswamy Stadium,0,1,0,0,0.0,c Navdeep Saini b TG Southee,2
26,2019-04-12,Kolkata Knight Riders,Eden Gardens,97,63,11,2,153.97,not out,2
30,2019-04-14,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,7,8,1,0,87.5,c B Kumar b KK Ahmed,2
34,2019-04-18,Mumbai Indians,Arun Jaitley Stadium,35,22,5,1,159.09,b RD Chahar,2
37,2019-04-20,Kings XI Punjab,Arun Jaitley Stadium,56,41,7,1,136.59,c R Ashwin b GC Viljoen,2
40,2019-04-22,Rajasthan Royals,Sawai Mansingh Stadium,54,27,8,2,200.0,st SV Samson b S Gopal,2
46,2019-04-28,Royal Challengers Bangalore,Arun Jaitley Stadium,50,37,5,2,135.14,c Washington Sundar b YS Chahal,2
50,2019-05-01,Chennai Super Kings,MA Chidambaram Stadium,19,13,1,1,146.15,b Harbhajan Singh,2
53,2019-05-04,Rajasthan Royals,Arun Jaitley Stadium,16,12,2,0,133.33,c R Parag b IS Sodhi,2
58,2019-05-08,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17,16,3,0,106.25,st WP Saha b DJ Hooda,2
59,2019-05-10,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,18,14,3,0,128.57,c MS Dhoni b Harbhajan Singh,2
