match_number,date,opponent,venue,result,margin
3,2014-04-18,Kings XI Punjab,Sheikh Zayed Stadium,lost,by 6 wickets
8,2014-04-21,Delhi Daredevils,Sheikh Zayed Stadium,won,by 93 runs
10,2014-04-23,Rajasthan Royals,Dubai International Cricket Stadium,won,by 7 runs
13,2014-04-25,Mumbai Indians,Dubai International Cricket Stadium,won,by 7 wickets
17,2014-04-27,Sunrisers Hyderabad,Sharjah Cricket Stadium,won,by 5 wickets
21,2014-05-02,Kolkata Knight Riders,JSCA International Stadium Complex,won,by 34 runs
26,2014-05-05,Delhi Daredevils,Feroz Shah Kotla,won,by 8 wickets
29,2014-05-07,Kings XI Punjab,Barabati Stadium,lost,by 44 runs
33,2014-05-10,Mumbai Indians,Wankhede Stadium,won,by 4 wickets
37,2014-05-13,Rajasthan Royals,JSCA International Stadium Complex,won,by 5 wickets
42,2014-05-18,Royal Challengers Bangalore,JSCA International Stadium Complex,lost,by 5 wickets
47,2014-05-20,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
50,2014-05-22,Sunrisers Hyderabad,JSCA International Stadium Complex,lost,by 6 wickets
53,2014-05-24,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 8 wickets
58,2014-05-28,Mumbai Indians,Brabourne Stadium,won,by 7 wickets
59,2014-05-30,Kings XI Punjab,Wankhede Stadium,lost,by 24 runs
