innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,1,3,Punjab Kings,C Connolly,Mohammed Siraj,KN Ananthapadmanabhan,wicket,struck down,False
1,9,5,Gujarat Titans,MP Stoinis,JO Holder,KN Ananthapadmanabhan,wicket,struck down,False
2,3,4,Punjab Kings,JC Buttler,M Jansen,KN Ananthapadmanabhan,wicket,struck down,False
2,7,6,Punjab Kings,JC Buttler,Vijaykumar Vyshak,KN Ananthapadmanabhan,wicket,struck down,False
