innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Punjab Kings,1,Priyansh Arya,2,2,P Simran Singh,0,0,0,2,2
1,Punjab Kings,2,C Connolly,0,1,P Simran Singh,0,0,0,0,1
1,Punjab Kings,3,SS Iyer,15,15,P Simran Singh,15,14,3,33,29
1,Punjab Kings,4,N Wadhera,0,6,SS Iyer,1,1,0,1,7
1,Punjab Kings,5,Suryansh Shedge,8,8,SS Iyer,3,5,0,11,13
1,Punjab Kings,6,MP Stoinis,29,23,Suryansh Shedge,49,21,1,79,44
1,Punjab Kings,7,MP Stoinis,11,8,M Jansen,2,2,2,15,10
1,Punjab Kings,8,XC Bartlett,0,1,M Jansen,0,0,0,0,1
1,Punjab Kings,9,Vijaykumar Vyshak,1,3,M Jansen,18,9,2,21,12
1,Punjab Kings,10,Arshdeep Singh,1,1,Vijaykumar Vyshak,0,0,0,1,1
2,Gujarat Titans,1,B Sai Sudharsan,11,5,Shubman Gill,5,4,0,16,9
2,Gujarat Titans,2,JC Buttler,26,22,B Sai Sudharsan,20,18,7,53,40
2,Gujarat Titans,3,N Sindhu,15,11,B Sai Sudharsan,10,9,0,25,20
2,Gujarat Titans,4,Washington Sundar,14,11,B Sai Sudharsan,16,9,0,30,20
2,Gujarat Titans,5,R Tewatia,2,6,Washington Sundar,13,7,1,16,13
2,Gujarat Titans,6,Washington Sundar,7,4,JO Holder,5,7,0,12,11
2,Gujarat Titans,7,Arshad Khan,8,5,Washington Sundar,6,1,1,15,6
