match_number,date,opponent,venue,result,margin
2,2014-04-17,Royal Challengers Bangalore,Sharjah Cricket Stadium,lost,by 8 wickets
6,2014-04-19,Kolkata Knight Riders,Dubai International Cricket Stadium,won,by 4 wickets
8,2014-04-21,Chennai Super Kings,Sheikh Zayed Stadium,lost,by 93 runs
12,2014-04-25,Sunrisers Hyderabad,Dubai International Cricket Stadium,lost,by 4 runs
16,2014-04-27,Mumbai Indians,Sharjah Cricket Stadium,won,by 6 wickets
23,2014-05-03,Rajasthan Royals,Feroz Shah Kotla,lost,by 7 wickets
26,2014-05-05,Chennai Super Kings,Feroz Shah Kotla,lost,by 8 wickets
28,2014-05-07,Kolkata Knight Riders,Feroz Shah Kotla,lost,by 8 wickets
32,2014-05-10,Sunrisers Hyderabad,Feroz Shah Kotla,lost,by 8 wickets
38,2014-05-13,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 16 runs
41,2014-05-15,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 62 runs
45,2014-05-19,Kings XI Punjab,Feroz Shah Kotla,lost,by 4 wickets
51,2014-05-23,Mumbai Indians,Wankhede Stadium,lost,by 15 runs
55,2014-05-25,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 7 wickets
