match_number,date,opponent,catches,stumpings,run_outs
5,2022-03-29,Sunrisers Hyderabad,1,0,0
9,2022-04-02,Mumbai Indians,0,0,1
13,2022-04-05,Royal Challengers Bangalore,1,0,1
24,2022-04-14,Gujarat Titans,1,0,0
30,2022-04-18,Kolkata Knight Riders,1,1,0
34,2022-04-22,Delhi Capitals,3,0,1
44,2022-04-30,Mumbai Indians,1,0,0
47,2022-05-02,Kolkata Knight Riders,1,0,0
58,2022-05-11,Delhi Capitals,1,0,0
63,2022-05-15,Lucknow Super Giants,1,1,0
68,2022-05-20,Chennai Super Kings,1,0,0
71,2022-05-24,Gujarat Titans,1,0,0
73,2022-05-27,Royal Challengers Bangalore,1,0,0
