innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,19,4,Punjab Kings,VR Iyer,Azmatullah Omarzai,AT Holdstock,wicket,struck down,False
2,17,1,Punjab Kings,MP Stoinis,JR Hazlewood,AT Holdstock,wicket,struck down,True
