innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Royal Challengers Bengaluru,1,JG Bethell,11,7,V Kohli,9,7,1,21,14
1,Royal Challengers Bengaluru,2,D Padikkal,45,25,V Kohli,28,17,3,76,41
1,Royal Challengers Bengaluru,3,VR Iyer,38,22,V Kohli,21,13,1,60,35
1,Royal Challengers Bengaluru,4,VR Iyer,35,18,TH David,28,12,2,65,30
1,Royal Challengers Bengaluru,5,VR Iyer,35,18,TH David,28,12,2,65,30
2,Punjab Kings,1,Priyansh Arya,0,3,P Simran Singh,0,0,1,1,3
2,Punjab Kings,2,C Connolly,15,9,P Simran Singh,2,5,0,17,14
2,Punjab Kings,3,SS Iyer,1,3,C Connolly,0,0,0,1,3
2,Punjab Kings,4,Suryansh Shedge,19,12,C Connolly,22,13,2,43,25
2,Punjab Kings,5,MP Stoinis,14,10,Suryansh Shedge,16,10,1,31,20
2,Punjab Kings,6,Shashank Singh,42,17,MP Stoinis,23,15,2,67,32
2,Punjab Kings,7,Azmatullah Omarzai,14,9,Shashank Singh,14,10,6,34,19
2,Punjab Kings,8,Harpreet Brar,5,3,Azmatullah Omarzai,0,1,0,5,4
2,Punjab Kings,9,Harpreet Brar,5,3,Azmatullah Omarzai,0,1,0,5,4
