match_number,date,opponent,venue,result,margin
4,2024-03-24,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",lost,by 20 runs
11,2024-03-30,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 21 runs
15,2024-04-02,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",won,by 28 runs
21,2024-04-07,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 33 runs
26,2024-04-12,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 6 wickets
28,2024-04-14,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 8 wickets
34,2024-04-19,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 8 wickets
39,2024-04-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 6 wickets
44,2024-04-27,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 7 wickets
48,2024-04-30,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 4 wickets
54,2024-05-05,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 98 runs
57,2024-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 10 wickets
64,2024-05-14,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 19 runs
67,2024-05-17,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 18 runs
