position,team,played,won,lost,no_result,net_run_rate,points
1,Mumbai Indians,16,11,5,0,0.903,22
2,Chennai Super Kings,16,9,6,0,0.422,18
3,Royal Challengers Bangalore,16,8,8,0,0.244,16
4,Deccan Chargers,16,8,8,0,-0.546,16
5,Delhi Daredevils,14,7,7,0,0.127,14
6,Kolkata Knight Riders,14,7,7,0,-0.341,14
7,Rajasthan Royals,14,6,8,0,-0.514,12
8,Kings XI Punjab,14,3,10,0,-0.478,6
