player,team,role,matches
A Kumble,Royal Challengers Bangalore,all-rounder,16
A Mishra,Delhi Daredevils,all-rounder,14
A Mithun,Royal Challengers Bangalore,all-rounder,1
A Nehra,Delhi Daredevils,all-rounder,4
A Symonds,Deccan Chargers,all-rounder,16
A Uniyal,Rajasthan Royals,all-rounder,2
AA Bilakhia,Deccan Chargers,batter,1
AA Jhunjhunwala,Rajasthan Royals,all-rounder,11
AB Agarkar,Kolkata Knight Riders,all-rounder,7
AB Barath,Kings XI Punjab,batter,3
AB Dinda,Kolkata Knight Riders,all-rounder,7
AB McDonald,Delhi Daredevils,all-rounder,4
AB de Villiers,Delhi Daredevils,batter,7
AC Gilchrist,Deccan Chargers,batter,16
AC Voges,Rajasthan Royals,all-rounder,8
AD Mascarenhas,Rajasthan Royals,all-rounder,2
AD Mathews,Kolkata Knight Riders,all-rounder,12
AG Murtaza,Mumbai Indians,bowler,3
AG Paunikar,Rajasthan Royals,batter,1
AJ Finch,Rajasthan Royals,all-rounder,1
AM Nayar,Mumbai Indians,batter,3
AN Ahmed,Mumbai Indians,all-rounder,1
AP Dole,Rajasthan Royals,all-rounder,3
AP Tare,Mumbai Indians,batter,4
AS Raut,Rajasthan Royals,batter,5
AT Rayudu,Mumbai Indians,batter,14
Anirudh Singh,Deccan Chargers,batter,4
B Akhil,Royal Challengers Bangalore,bowler,1
B Lee,Kings XI Punjab,all-rounder,4
B Sumanth,Deccan Chargers,batter,4
BAW Mendis,Kolkata Knight Riders,all-rounder,2
BB McCullum,Kolkata Knight Riders,batter,5
BJ Hodge,Kolkata Knight Riders,all-rounder,4
Bipul Sharma,Kings XI Punjab,all-rounder,4
C Ganapathy,Chennai Super Kings,bowler,1
C Madan,Mumbai Indians,batter,1
CA Pujara,Kolkata Knight Riders,batter,6
CH Gayle,Kolkata Knight Riders,all-rounder,9
CK Langeveldt,Kolkata Knight Riders,all-rounder,3
CL White,Royal Challengers Bangalore,all-rounder,5
CRD Fernando,Mumbai Indians,all-rounder,5
DA Warner,Delhi Daredevils,batter,11
DE Bollinger,Chennai Super Kings,all-rounder,8
DJ Bravo,Mumbai Indians,all-rounder,10
DJ Hussey,Kolkata Knight Riders,all-rounder,6
DL Vettori,Delhi Daredevils,all-rounder,3
DP Nannes,Delhi Daredevils,all-rounder,9
DPMD Jayawardene,Kings XI Punjab,batter,13
DR Martyn,Rajasthan Royals,batter,1
DR Smith,Deccan Chargers,all-rounder,3
DS Kulkarni,Mumbai Indians,bowler,1
DW Steyn,Royal Challengers Bangalore,all-rounder,15
EJG Morgan,Royal Challengers Bangalore,batter,4
FY Fazal,Rajasthan Royals,all-rounder,10
G Gambhir,Delhi Daredevils,batter,10
GC Smith,Rajasthan Royals,batter,2
GJ Bailey,Chennai Super Kings,batter,1
HH Gibbs,Deccan Chargers,batter,10
Harbhajan Singh,Mumbai Indians,all-rounder,15
Harmeet Singh,Deccan Chargers,all-rounder,8
I Sharma,Kolkata Knight Riders,all-rounder,7
IK Pathan,Kings XI Punjab,all-rounder,14
Iqbal Abdulla,Kolkata Knight Riders,all-rounder,3
J Theron,Kings XI Punjab,all-rounder,7
JA Morkel,Chennai Super Kings,all-rounder,14
JD Unadkat,Kolkata Knight Riders,bowler,3
JH Kallis,Royal Challengers Bangalore,all-rounder,16
JM Kemp,Chennai Super Kings,all-rounder,5
JP Duminy,Mumbai Indians,all-rounder,7
Jaskaran Singh,Deccan Chargers,all-rounder,6
Joginder Sharma,Chennai Super Kings,bowler,3
K Goel,Kings XI Punjab,all-rounder,2
KA Pollard,Mumbai Indians,all-rounder,14
KAJ Roach,Deccan Chargers,all-rounder,2
KB Arun Karthik,Chennai Super Kings,batter,1
KC Sangakkara,Kings XI Punjab,batter,12
KD Karthik,Delhi Daredevils,batter,14
KM Jadhav,Delhi Daredevils,batter,5
KP Appanna,Royal Challengers Bangalore,all-rounder,2
KP Pietersen,Royal Challengers Bangalore,all-rounder,7
Kamran Khan,Rajasthan Royals,bowler,3
L Ablish,Kings XI Punjab,bowler,2
L Balaji,Chennai Super Kings,all-rounder,7
LR Shukla,Kolkata Knight Riders,all-rounder,4
LRPL Taylor,Royal Challengers Bangalore,batter,7
M Kaif,Kings XI Punjab,batter,3
M Kartik,Kolkata Knight Riders,all-rounder,10
M Manhas,Delhi Daredevils,batter,8
M Morkel,Rajasthan Royals,all-rounder,2
M Muralitharan,Chennai Super Kings,all-rounder,12
M Vijay,Chennai Super Kings,batter,15
MB Parmar,Kolkata Knight Riders,bowler,1
MC Henriques,Delhi Daredevils,all-rounder,1
MD Mishra,Deccan Chargers,batter,11
MEK Hussey,Chennai Super Kings,batter,3
MF Maharoof,Delhi Daredevils,all-rounder,7
MJ Lumb,Rajasthan Royals,batter,11
MK Pandey,Royal Challengers Bangalore,batter,13
MK Tiwary,Kolkata Knight Riders,all-rounder,12
ML Hayden,Chennai Super Kings,batter,16
MM Patel,Rajasthan Royals,all-rounder,4
MR Marsh,Deccan Chargers,all-rounder,3
MS Bisla,Kings XI Punjab,batter,10
MS Dhoni,Chennai Super Kings,batter,11
MS Gony,Chennai Super Kings,all-rounder,3
MV Boucher,Royal Challengers Bangalore,batter,2
Mandeep Singh,Kolkata Knight Riders,batter,2
ND Doshi,Royal Challengers Bangalore,bowler,1
