cricsheet_match_id,match_number,date,venue,team_1,team_2,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,player_of_match,team_1_score,team_2_score,team_1_overs,team_2_overs,method,target_overs,match_stage,umpire_1,umpire_2,tv_umpire,match_referee
419106,1,2010-03-12,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,,11,0,AD Mathews,161/4,150/7,20.0,20.0,,20,league,RE Koertzen,RB Tiffin,BG Jerling,AJ Pycroft
419107,2,2010-03-13,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,,4,0,YK Pathan,212/6,208/7,20.0,20.0,,20,league,RE Koertzen,RB Tiffin,BG Jerling,AJ Pycroft
419108,3,2010-03-13,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,5,G Gambhir,142/9,146/5,20.0,19.5,,20,league,BR Doctrove,S Ravi,SK Tarapore,S Venkataraghavan
419109,4,2010-03-14,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,0,7,MK Tiwary,135/7,136/3,20.0,19.2,,20,league,HDPK Dharmasena,AM Saheba,M Erasmus,Yashpal Sharma
419110,5,2010-03-14,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,,31,0,WPUJC Vaas,190/4,159/9,20.0,20.0,,20,league,K Hariharan,DJ Harper,S Das,D Govindjee
419111,6,2010-03-15,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,0,6,V Sehwag,141/6,142/4,20.0,17.1,,20,league,BG Jerling,RE Koertzen,RB Tiffin,AJ Pycroft
419112,7,2010-03-16,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,,0,8,JH Kallis,203/3,204/2,20.0,18.5,,20,league,S Das,DJ Harper,K Hariharan,D Govindjee
419113,8,2010-03-16,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,,55,0,MS Dhoni,164/3,109/10,20.0,19.2,,20,league,HDPK Dharmasena,AM Saheba,M Erasmus,Yashpal Sharma
419114,9,2010-03-17,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,,98,0,SR Tendulkar,218/7,120/9,20.0,16.3,,20,league,BR Doctrove,SK Tarapore,S Ravi,S Venkataraghavan
419115,10,2010-03-18,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,0,10,JH Kallis,92/10,93/0,19.5,10.4,,20,league,K Hariharan,DJ Harper,S Das,D Govindjee
419116,11,2010-03-19,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,,0,5,ML Hayden,185/6,190/5,20.0,19.1,,20,league,BR Doctrove,SK Tarapore,S Ravi,S Venkataraghavan
419117,12,2010-03-19,Barabati Stadium,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,,6,0,A Symonds,170/7,164/8,20.0,20.0,,20,league,BF Bowden,M Erasmus,AM Saheba,GR Viswanath
419118,13,2010-03-20,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,,34,0,AA Jhunjhunwala,168/7,134/5,20.0,20.0,,20,league,RE Koertzen,RB Tiffin,BG Jerling,AJ Pycroft
419119,14,2010-03-20,Brabourne Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,,0,7,JH Kallis,151/9,155/3,20.0,19.1,,20,league,HDPK Dharmasena,SS Hazare,SK Tarapore,Yashpal Sharma
419120,15,2010-03-21,Barabati Stadium,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,,10,0,A Symonds,171/6,161/9,20.0,20.0,,20,league,BF Bowden,M Erasmus,AM Saheba,GR Viswanath
419121,16,2010-03-21,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,,tie,0,0,J Theron,136/8,136/7,20.0,20.0,,20,league,K Hariharan,DJ Harper,S Das,S Venkataraghavan
419122,17,2010-03-22,Brabourne Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,,0,7,SR Tendulkar,155/3,156/3,20.0,18.3,,20,league,SS Hazare,SJA Taufel,HDPK Dharmasena,Yashpal Sharma
419123,18,2010-03-23,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,,36,0,RV Uthappa,171/5,135/7,20.0,20.0,,20,league,RE Koertzen,RB Tiffin,BG Jerling,AJ Pycroft
419124,19,2010-03-24,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,,31,0,AC Voges,183/5,152/10,20.0,19.1,,20,league,BR Doctrove,SK Tarapore,S Ravi,S Venkataraghavan
419128,20,2010-03-25,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,,17,0,KM Jadhav,183/4,166/9,20.0,20.0,,20,league,BG Jerling,RE Koertzen,RB Tiffin,AJ Pycroft
419125,21,2010-03-25,"Brabourne Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,0,5,SR Tendulkar,180/2,181/5,20.0,19.0,,20,league,AM Saheba,BF Bowden,M Erasmus,GR Viswanath
419126,22,2010-03-26,"Sardar Patel Stadium, Motera",Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,,0,8,YK Pathan,148/9,151/2,20.0,15.4,,20,league,HDPK Dharmasena,SJA Taufel,SS Hazare,RS Mahanama
419127,23,2010-03-27,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,,39,0,MK Tiwary,183/5,144/6,20.0,20.0,,20,league,BR Doctrove,S Ravi,SK Tarapore,S Venkataraghavan
419129,24,2010-03-28,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,,17,0,NV Ojha,177/8,160/6,20.0,20.0,,20,league,SS Hazare,SJA Taufel,HDPK Dharmasena,RS Mahanama
