match_number,date,opponent,venue,result,margin
4,2009-04-19,Kolkata Knight Riders,Newlands,won,by 8 wickets
8,2009-04-22,Royal Challengers Bangalore,Newlands,won,by 24 runs
12,2009-04-25,Mumbai Indians,Kingsmead,won,by 12 runs
16,2009-04-27,Chennai Super Kings,Kingsmead,won,by 6 wickets
21,2009-04-30,Delhi Daredevils,SuperSport Park,lost,by 6 wickets
25,2009-05-02,Rajasthan Royals,St George's Park,lost,by 3 wickets
29,2009-05-04,Chennai Super Kings,Buffalo Park,lost,by 78 runs
32,2009-05-06,Mumbai Indians,SuperSport Park,won,by 19 runs
36,2009-05-09,Kings XI Punjab,De Beers Diamond Oval,lost,by 3 wickets
40,2009-05-11,Rajasthan Royals,De Beers Diamond Oval,won,by 53 runs
43,2009-05-13,Delhi Daredevils,Kingsmead,lost,by 12 runs
48,2009-05-16,Kolkata Knight Riders,New Wanderers Stadium,won,by 6 wickets
49,2009-05-17,Kings XI Punjab,New Wanderers Stadium,lost,by 1 runs
56,2009-05-21,Royal Challengers Bangalore,SuperSport Park,lost,by 12 runs
57,2009-05-22,Delhi Daredevils,SuperSport Park,won,by 6 wickets
59,2009-05-24,Royal Challengers Bangalore,New Wanderers Stadium,won,by 6 runs
