match_number,date,opponent,venue,result,margin
5,2023-04-02,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",lost,by 8 wickets
12,2023-04-08,Chennai Super Kings,"Wankhede Stadium, Mumbai",lost,by 7 wickets
16,2023-04-11,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 6 wickets
22,2023-04-16,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",won,by 5 wickets
25,2023-04-18,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 14 runs
31,2023-04-22,Punjab Kings,"Wankhede Stadium, Mumbai",lost,by 13 runs
35,2023-04-25,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 55 runs
42,2023-04-30,Rajasthan Royals,"Wankhede Stadium, Mumbai",won,by 6 wickets
46,2023-05-03,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",won,by 6 wickets
49,2023-05-06,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 6 wickets
54,2023-05-09,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",won,by 6 wickets
57,2023-05-12,Gujarat Titans,"Wankhede Stadium, Mumbai",won,by 27 runs
63,2023-05-16,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 5 runs
69,2023-05-21,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",won,by 8 wickets
72,2023-05-24,Lucknow Super Giants,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 81 runs
73,2023-05-26,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 62 runs
