match_number,date,opponent,catches,stumpings,run_outs
5,2015-04-11,Kolkata Knight Riders,0,0,1
8,2015-04-13,Sunrisers Hyderabad,0,1,0
20,2015-04-22,Chennai Super Kings,1,0,0
22,2015-04-24,Rajasthan Royals,2,0,0
26,2015-04-26,Delhi Daredevils,2,1,0
33,2015-05-02,Kolkata Knight Riders,1,0,1
37,2015-05-04,Chennai Super Kings,0,0,1
46,2015-05-10,Mumbai Indians,1,1,1
50,2015-05-13,Kings XI Punjab,1,1,0
52,2015-05-15,Sunrisers Hyderabad,1,0,0
55,2015-05-17,Delhi Daredevils,1,0,0
58,2015-05-20,Rajasthan Royals,3,0,1
59,2015-05-22,Chennai Super Kings,1,0,0
