innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Chennai Super Kings,1,SV Samson,7,7,RD Gaikwad,6,5,1,14,12
1,Chennai Super Kings,2,RD Gaikwad,22,17,A Mhatre,67,38,7,96,55
1,Chennai Super Kings,3,S Dube,3,4,A Mhatre,6,5,4,13,8
1,Chennai Super Kings,4,Kartik Sharma,1,3,S Dube,6,4,0,7,7
1,Chennai Super Kings,5,SN Khan,32,12,S Dube,5,6,1,38,18
1,Chennai Super Kings,6,PR Veer,6,7,S Dube,31,13,4,41,20
2,Punjab Kings,1,Priyansh Arya,39,11,P Simran Singh,19,15,3,61,26
2,Punjab Kings,2,C Connolly,9,8,P Simran Singh,24,19,1,34,27
2,Punjab Kings,3,C Connolly,27,14,SS Iyer,4,5,1,32,18
2,Punjab Kings,4,N Wadhera,10,8,SS Iyer,46,24,3,59,31
2,Punjab Kings,5,N Wadhera,0,1,Shashank Singh,0,0,0,0,1
2,Punjab Kings,6,MP Stoinis,9,3,Shashank Singh,14,6,1,24,9
