innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,MR Marsh,46,21,JP Inglis,60,29,3,109,50
1,Lucknow Super Giants,2,N Pooran,16,11,MR Marsh,21,13,5,42,24
1,Lucknow Super Giants,3,RR Pant,35,23,MR Marsh,24,19,5,64,41
1,Lucknow Super Giants,4,MR Marsh,5,4,Abdul Samad,0,0,0,5,4
1,Lucknow Super Giants,5,A Badoni,0,1,Abdul Samad,0,0,0,0,1
1,Lucknow Super Giants,6,A Badoni,0,1,Abdul Samad,0,0,0,0,1
2,Rajasthan Royals,1,YBK Jaiswal,43,23,V Suryavanshi,25,16,7,75,39
2,Rajasthan Royals,2,Dhruv Jurel,34,23,V Suryavanshi,68,22,3,105,45
2,Rajasthan Royals,3,Dhruv Jurel,8,8,LG Pretorius,7,6,1,16,14
2,Rajasthan Royals,4,D Ferreira,16,10,Dhruv Jurel,11,7,2,29,17
