match_number,date,opponent,venue,result,margin
2,2026-03-29,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 6 wickets
6,2026-04-02,Sunrisers Hyderabad,"Eden Gardens, Kolkata",lost,by 65 runs
12,2026-04-06,Punjab Kings,"Eden Gardens, Kolkata",no result,
15,2026-04-09,Lucknow Super Giants,"Eden Gardens, Kolkata",lost,by 3 wickets
22,2026-04-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",lost,by 32 runs
25,2026-04-17,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",lost,by 5 wickets
28,2026-04-19,Rajasthan Royals,"Eden Gardens, Kolkata",won,by 4 wickets
38,2026-04-26,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,
45,2026-05-03,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 7 wickets
51,2026-05-08,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 8 wickets
57,2026-05-13,Royal Challengers Bengaluru,"Shaheed Veer Narayan Singh International Stadium, Raipur",lost,by 6 wickets
60,2026-05-16,Gujarat Titans,"Eden Gardens, Kolkata",won,by 29 runs
65,2026-05-20,Mumbai Indians,"Eden Gardens, Kolkata",won,by 4 wickets
70,2026-05-24,Delhi Capitals,"Eden Gardens, Kolkata",lost,by 40 runs
