match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2023-04-02,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,3,0,0,0.0,b TA Boult,1
19,2023-04-14,Kolkata Knight Riders,"Eden Gardens, Kolkata",32,17,3,2,188.24,c SN Thakur b AD Russell,5
25,2023-04-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,2,0,0,50.0,c TH David b PP Chawla,5
29,2023-04-21,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",34,26,3,1,130.77,c AM Rahane b RA Jadeja,2
34,2023-04-24,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",5,5,0,0,100.0,c & b Kuldeep Yadav,4
40,2023-04-29,Delhi Capitals,"Arun Jaitley Stadium, Delhi",67,36,12,1,186.11,c DA Warner b AR Patel,1
47,2023-05-04,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",9,10,1,0,90.0,c AD Russell b SN Thakur,1
52,2023-05-07,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",55,34,5,2,161.76,c YS Chahal b R Ashwin,2
58,2023-05-13,Lucknow Super Giants,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",7,5,1,0,140.0,c Q de Kock b Yudhvir Singh,2
62,2023-05-15,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",5,5,1,0,100.0,c WP Saha b Yash Dayal,2
65,2023-05-18,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",11,14,2,0,78.57,c MK Lomror b MG Bracewell,1
