innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,MR Marsh,16,10,JP Inglis,13,5,0,29,15
1,Lucknow Super Giants,2,N Pooran,63,21,MR Marsh,28,14,3,94,34
1,Lucknow Super Giants,3,RR Pant,1,3,MR Marsh,0,1,1,2,4
1,Lucknow Super Giants,4,AK Markram,7,5,RR Pant,14,7,2,23,11
1,Lucknow Super Giants,5,Akshat Raghuwanshi,11,7,AK Markram,1,2,0,12,9
1,Lucknow Super Giants,6,Himmat Singh,40,31,AK Markram,23,18,5,68,47
2,Mumbai Indians,1,RD Rickelton,83,32,RG Sharma,58,33,2,143,65
2,Mumbai Indians,2,Tilak Varma,7,8,RG Sharma,26,11,1,34,19
2,Mumbai Indians,3,Tilak Varma,4,5,SA Yadav,7,4,1,12,9
2,Mumbai Indians,4,Naman Dhir,18,10,SA Yadav,5,3,1,24,13
2,Mumbai Indians,5,WG Jacks,10,4,Naman Dhir,5,2,1,16,6
