match_number,date,opponent,venue,result,margin
5,2011-04-10,Pune Warriors,Dr DY Patil Sports Academy,lost,by 7 wickets
9,2011-04-13,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",won,by 6 wickets
15,2011-04-16,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",won,by 8 wickets
23,2011-04-21,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",won,by 48 runs
26,2011-04-23,Delhi Daredevils,Feroz Shah Kotla,lost,by 29 runs
37,2011-04-30,Kolkata Knight Riders,Eden Gardens,lost,by 8 wickets
40,2011-05-02,Mumbai Indians,Wankhede Stadium,lost,by 23 runs
47,2011-05-06,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 85 runs
51,2011-05-08,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",lost,by 5 wickets
54,2011-05-10,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",won,by 76 runs
57,2011-05-13,Kochi Tuskers Kerala,Holkar Cricket Stadium,won,by 6 wickets
60,2011-05-15,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,won,by 29 runs
63,2011-05-17,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,won,by 111 runs
67,2011-05-21,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,lost,by 82 runs
