match_number,date,opponent,venue,result,margin
2,2023-04-01,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",lost,by 7 runs
9,2023-04-06,Royal Challengers Bangalore,"Eden Gardens, Kolkata",won,by 81 runs
13,2023-04-09,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 3 wickets
19,2023-04-14,Sunrisers Hyderabad,"Eden Gardens, Kolkata",lost,by 23 runs
22,2023-04-16,Mumbai Indians,"Wankhede Stadium, Mumbai",lost,by 5 wickets
28,2023-04-20,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 4 wickets
33,2023-04-23,Chennai Super Kings,"Eden Gardens, Kolkata",lost,by 49 runs
36,2023-04-26,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",won,by 21 runs
39,2023-04-29,Gujarat Titans,"Eden Gardens, Kolkata",lost,by 7 wickets
47,2023-05-04,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",won,by 5 runs
53,2023-05-08,Punjab Kings,"Eden Gardens, Kolkata",won,by 5 wickets
56,2023-05-11,Rajasthan Royals,"Eden Gardens, Kolkata",lost,by 9 wickets
61,2023-05-14,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 6 wickets
68,2023-05-20,Lucknow Super Giants,"Eden Gardens, Kolkata",lost,by 1 runs
