innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,9,6,Chennai Super Kings,AM Rahane,PP Chawla,Navdeep Singh,wicket,struck down,False
2,17,3,Mumbai Indians,DP Conway,Akash Madhwal,Navdeep Singh,wicket,upheld,False
