match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
9,2012-04-09,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,14,19,1,0,73.68,b MM Patel,5
20,2012-04-17,Rajasthan Royals,Sawai Mansingh Stadium,44,32,5,1,137.5,c DH Yagnik b BJ Hodge,1
23,2012-04-19,Delhi Daredevils,Feroz Shah Kotla,1,7,0,0,14.29,c Y Nagar b M Morkel,1
29,2012-04-22,Kolkata Knight Riders,Barabati Stadium,12,15,1,0,80.0,b L Balaji,1
35,2012-04-26,Pune Warriors,Subrata Roy Sahara Stadium,12,14,1,0,85.71,b R Sharma,4
42,2012-05-01,Pune Warriors,Barabati Stadium,82,52,10,2,157.69,b A Nehra,4
46,2012-05-04,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",1,5,0,0,20.0,c & b SK Raina,4
50,2012-05-06,Royal Challengers Bangalore,M Chinnaswamy Stadium,10,3,1,1,333.33,not out,4
53,2012-05-08,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",4,6,0,0,66.67,c N Saini b P Kumar,5
55,2012-05-10,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",4,5,1,0,80.0,c S Nadeem b VR Aaron,3
61,2012-05-13,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1,4,0,0,25.0,c Azhar Mahmood b P Awana,3
71,2012-05-20,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",15,22,1,0,68.18,c R Vinay Kumar b M Muralitharan,3
