team,ball,batter,bowler,non_striker,batter_runs,extra_runs,total_runs,extra_type,is_wicket,wicket_kind,player_out
Delhi Capitals,1,RR Pant,M Prasidh Krishna,SS Iyer,1,0,1,,False,,
Delhi Capitals,2,SS Iyer,M Prasidh Krishna,RR Pant,4,0,4,,False,,
Delhi Capitals,3,SS Iyer,M Prasidh Krishna,RR Pant,0,0,0,,True,caught,SS Iyer
Delhi Capitals,4,RR Pant,M Prasidh Krishna,PP Shaw,2,0,2,,False,,
Delhi Capitals,5,RR Pant,M Prasidh Krishna,PP Shaw,2,0,2,,False,,
Delhi Capitals,6,RR Pant,M Prasidh Krishna,PP Shaw,1,0,1,,False,,
Kolkata Knight Riders,1,AD Russell,K Rabada,KD Karthik,4,0,4,,False,,
Kolkata Knight Riders,2,AD Russell,K Rabada,KD Karthik,0,0,0,,False,,
Kolkata Knight Riders,3,AD Russell,K Rabada,KD Karthik,0,0,0,,True,bowled,AD Russell
Kolkata Knight Riders,4,RV Uthappa,K Rabada,KD Karthik,1,0,1,,False,,
Kolkata Knight Riders,5,KD Karthik,K Rabada,RV Uthappa,1,0,1,,False,,
Kolkata Knight Riders,6,RV Uthappa,K Rabada,KD Karthik,1,0,1,,False,,
