innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,2,4,Delhi Capitals,NS Naik,S Lamichhane,Nitin Menon,,struck down,False
1,4,4,Kolkata Knight Riders,NS Naik,S Lamichhane,Nitin Menon,,struck down,False
