match_number,date,opponent,venue,overs,maidens,runs,wickets,economy,dots,wides,noballs
3,2025-03-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,0,18,1,9.0,5,0,0
9,2025-03-29,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",4.0,0,39,1,9.75,9,2,0
12,2025-03-31,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",2.0,0,19,2,9.5,6,1,0
16,2025-04-04,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2.0,0,23,0,11.5,2,1,0
20,2025-04-07,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",2.0,0,29,0,14.5,2,1,0
29,2025-04-13,Delhi Capitals,"Arun Jaitley Stadium, Delhi",3.0,0,24,1,8.0,5,0,0
33,2025-04-17,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",4.0,0,47,0,11.75,9,2,0
38,2025-04-20,Chennai Super Kings,"Wankhede Stadium, Mumbai",4.0,0,32,1,8.0,11,2,0
41,2025-04-23,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4.0,0,12,2,3.0,16,1,0
45,2025-04-27,Lucknow Super Giants,"Wankhede Stadium, Mumbai",3.0,0,38,0,12.67,8,1,1
50,2025-05-01,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2.0,0,13,1,6.5,9,2,0
56,2025-05-06,Gujarat Titans,"Wankhede Stadium, Mumbai",3.0,0,32,1,10.67,6,1,1
63,2025-05-21,Delhi Capitals,"Wankhede Stadium, Mumbai",3.0,0,22,1,7.33,8,0,0
69,2025-05-26,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",3.0,1,28,0,9.33,10,1,0
