match_number,date,opponent,catches,stumpings,run_outs
14,2015-04-18,Kings XI Punjab,1,0,0
17,2015-04-20,Delhi Daredevils,1,0,0
38,2015-05-04,Sunrisers Hyderabad,0,0,1
54,2015-05-16,Rajasthan Royals,1,0,0
