match_number,date,opponent,venue,result,margin
3,2015-04-10,Rajasthan Royals,Maharashtra Cricket Association Stadium,lost,by 26 runs
7,2015-04-12,Mumbai Indians,Wankhede Stadium,won,by 18 runs
10,2015-04-15,Delhi Daredevils,Maharashtra Cricket Association Stadium,lost,by 5 wickets
14,2015-04-18,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,lost,by 4 wickets
18,2015-04-21,Rajasthan Royals,"Sardar Patel Stadium, Motera",no result,
24,2015-04-25,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 97 runs
27,2015-04-27,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",lost,by 20 runs
31,2015-05-01,Delhi Daredevils,Feroz Shah Kotla,lost,by 9 wickets
35,2015-05-03,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",lost,by 23 runs
40,2015-05-06,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 138 runs
44,2015-05-09,Kolkata Knight Riders,Eden Gardens,lost,by 1 wickets
48,2015-05-11,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 runs
50,2015-05-13,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",won,by 22 runs
53,2015-05-16,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",lost,by 7 wickets
