innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Mumbai Indians,1,RD Rickelton,6,7,RG Sharma,9,8,2,17,15
1,Mumbai Indians,2,Naman Dhir,0,3,RG Sharma,0,0,0,0,3
1,Mumbai Indians,3,RG Sharma,6,5,SA Yadav,0,0,0,6,5
1,Mumbai Indians,4,Tilak Varma,2,4,SA Yadav,15,6,1,18,10
1,Mumbai Indians,5,HH Pandya,21,21,Tilak Varma,18,28,4,43,49
1,Mumbai Indians,6,WG Jacks,6,4,HH Pandya,5,6,0,11,10
1,Mumbai Indians,7,C Bosch,1,5,WG Jacks,8,3,1,10,8
1,Mumbai Indians,8,C Bosch,31,13,DL Chahar,10,7,1,42,20
1,Mumbai Indians,9,C Bosch,31,13,DL Chahar,10,7,1,42,20
2,Kolkata Knight Riders,1,AM Rahane,1,1,FH Allen,8,5,1,10,6
2,Kolkata Knight Riders,2,AM Rahane,20,16,MK Pandey,16,12,2,38,28
2,Kolkata Knight Riders,3,C Green,4,8,MK Pandey,2,1,0,6,9
2,Kolkata Knight Riders,4,R Powell,34,28,MK Pandey,27,20,3,64,47
2,Kolkata Knight Riders,5,R Powell,6,2,RK Singh,0,0,0,6,2
2,Kolkata Knight Riders,6,T Dahiya,11,12,RK Singh,5,3,0,16,15
2,Kolkata Knight Riders,7,AS Roy,4,4,RK Singh,4,2,0,8,6
