match_number,date,opponent,venue,result,margin
4,2016-04-12,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 45 runs
8,2016-04-16,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",lost,by 8 wickets
12,2016-04-18,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",won,by 7 wickets
15,2016-04-21,Gujarat Lions,Saurashtra Cricket Association Stadium,won,by 10 wickets
18,2016-04-23,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",won,by 5 wickets
22,2016-04-26,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",lost,by 34 runs
27,2016-04-30,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",won,by 15 runs
34,2016-05-06,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",won,by 5 wickets
37,2016-05-08,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 85 runs
40,2016-05-10,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,won,by 4 runs
42,2016-05-12,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",lost,by 7 wickets
46,2016-05-15,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",won,by 7 wickets
52,2016-05-20,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,lost,by 6 wickets
55,2016-05-22,Kolkata Knight Riders,Eden Gardens,lost,by 22 runs
58,2016-05-25,Kolkata Knight Riders,Feroz Shah Kotla,won,by 22 runs
59,2016-05-27,Gujarat Lions,Feroz Shah Kotla,won,by 4 wickets
60,2016-05-29,Royal Challengers Bangalore,M Chinnaswamy Stadium,won,by 8 runs
