match_number,date,opponent,venue,result,margin
1,2025-03-22,Kolkata Knight Riders,"Eden Gardens, Kolkata",won,by 7 wickets
8,2025-03-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",won,by 50 runs
14,2025-04-02,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",lost,by 8 wickets
20,2025-04-07,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 12 runs
24,2025-04-10,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",lost,by 6 wickets
28,2025-04-13,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",won,by 9 wickets
34,2025-04-18,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",lost,by 5 wickets
37,2025-04-20,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 7 wickets
42,2025-04-24,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",won,by 11 runs
46,2025-04-27,Delhi Capitals,"Arun Jaitley Stadium, Delhi",won,by 6 wickets
52,2025-05-03,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",won,by 2 runs
65,2025-05-23,Sunrisers Hyderabad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lost,by 42 runs
70,2025-05-27,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 6 wickets
71,2025-05-29,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",won,by 8 wickets
74,2025-06-03,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",won,by 6 runs
