innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,7,5,Royal Challengers Bengaluru,DA Miller,Vijaykumar Vyshak,Vinod Seshan,wicket,struck down,False
2,14,1,Gujarat Titans,KD Karthik,Rashid Khan,Vinod Seshan,wicket,struck down,False
