innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Mumbai Indians,1,RD Rickelton,2,8,Q de Kock,6,5,4,12,13
1,Mumbai Indians,2,SA Yadav,0,1,Q de Kock,0,0,0,0,1
1,Mumbai Indians,3,Naman Dhir,50,31,Q de Kock,69,37,3,122,68
1,Mumbai Indians,4,HH Pandya,14,12,Q de Kock,26,11,1,41,23
1,Mumbai Indians,5,SE Rutherford,1,5,Q de Kock,6,3,0,7,8
1,Mumbai Indians,6,Tilak Varma,8,3,Q de Kock,3,3,0,11,6
1,Mumbai Indians,7,Q de Kock,2,1,Mayank Rawat,0,0,0,2,1
2,Punjab Kings,1,Priyansh Arya,15,9,P Simran Singh,11,5,1,27,14
2,Punjab Kings,2,C Connolly,17,12,P Simran Singh,1,1,0,18,13
2,Punjab Kings,3,SS Iyer,66,35,P Simran Singh,67,32,6,139,66
2,Punjab Kings,4,MP Stoinis,10,5,P Simran Singh,1,1,3,14,6
