match_number,date,opponent,venue,result,margin
2,2013-04-04,Mumbai Indians,M Chinnaswamy Stadium,won,by 2 runs
7,2013-04-07,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",no result,
9,2013-04-09,Sunrisers Hyderabad,M Chinnaswamy Stadium,won,by 7 wickets
12,2013-04-11,Kolkata Knight Riders,M Chinnaswamy Stadium,won,by 8 wickets
16,2013-04-13,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 4 wickets
21,2013-04-16,Delhi Daredevils,M Chinnaswamy Stadium,no result,
27,2013-04-20,Rajasthan Royals,M Chinnaswamy Stadium,won,by 7 wickets
31,2013-04-23,Pune Warriors,M Chinnaswamy Stadium,won,by 130 runs
37,2013-04-27,Mumbai Indians,Wankhede Stadium,lost,by 58 runs
40,2013-04-29,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 4 wickets
46,2013-05-02,Pune Warriors,Subrata Roy Sahara Stadium,won,by 17 runs
51,2013-05-06,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 6 wickets
57,2013-05-10,Delhi Daredevils,Feroz Shah Kotla,won,by 4 runs
60,2013-05-12,Kolkata Knight Riders,JSCA International Stadium Complex,lost,by 5 wickets
63,2013-05-14,Kings XI Punjab,M Chinnaswamy Stadium,lost,by 7 wickets
70,2013-05-18,Chennai Super Kings,M Chinnaswamy Stadium,won,by 24 runs
