innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
2,1,4,Gujarat Titans,Shubman Gill,TA Boult,R Pandit,wicket,struck down,False
2,20,6,Mumbai Indians,Rashid Khan,Ashwani Kumar,UV Gandhe,wicket,struck down,False
