match_number,date,opponent,venue,result,margin
3,2026-03-30,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",won,by 8 wickets
9,2026-04-04,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",won,by 6 runs
13,2026-04-07,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",won,by 27 runs
16,2026-04-10,Royal Challengers Bengaluru,"Barsapara Cricket Stadium, Guwahati",won,by 6 wickets
21,2026-04-13,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",lost,by 57 runs
28,2026-04-19,Kolkata Knight Riders,"Eden Gardens, Kolkata",lost,by 4 wickets
32,2026-04-22,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",won,by 40 runs
36,2026-04-25,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",lost,by 5 wickets
40,2026-04-28,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",won,by 6 wickets
43,2026-05-01,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",lost,by 7 wickets
52,2026-05-09,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",lost,by 77 runs
62,2026-05-17,Delhi Capitals,"Arun Jaitley Stadium, Delhi",lost,by 5 wickets
64,2026-05-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",won,by 7 wickets
69,2026-05-24,Mumbai Indians,"Wankhede Stadium, Mumbai",won,by 30 runs
