innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,total_runs,total_balls
1,Kolkata Knight Riders,1,PD Salt,48,14,SP Narine,5,12,56,26
1,Kolkata Knight Riders,2,A Raghuvanshi,3,3,SP Narine,5,3,10,6
1,Kolkata Knight Riders,3,VR Iyer,9,3,A Raghuvanshi,0,1,9,4
1,Kolkata Knight Riders,4,VR Iyer,7,5,SS Iyer,15,9,22,14
1,Kolkata Knight Riders,5,RK Singh,24,16,SS Iyer,14,13,40,29
1,Kolkata Knight Riders,6,AD Russell,11,13,SS Iyer,21,14,42,25
1,Kolkata Knight Riders,7,Ramandeep Singh,24,9,AD Russell,16,7,43,16
2,Royal Challengers Bengaluru,1,V Kohli,18,7,F du Plessis,7,6,27,13
2,Royal Challengers Bengaluru,2,WG Jacks,8,5,F du Plessis,0,1,8,6
2,Royal Challengers Bengaluru,3,RM Patidar,52,21,WG Jacks,47,27,102,48
2,Royal Challengers Bengaluru,4,C Green,0,1,RM Patidar,0,2,1,3
2,Royal Challengers Bengaluru,5,SS Prabhudessai,6,2,C Green,6,3,13,5
2,Royal Challengers Bengaluru,6,MK Lomror,4,3,SS Prabhudessai,0,0,4,3
2,Royal Challengers Bengaluru,7,SS Prabhudessai,18,16,KD Karthik,13,10,32,26
2,Royal Challengers Bengaluru,8,KV Sharma,2,2,KD Karthik,12,8,15,10
2,Royal Challengers Bengaluru,9,KV Sharma,18,5,Mohammed Siraj,0,0,18,5
2,Royal Challengers Bengaluru,10,LH Ferguson,1,1,Mohammed Siraj,0,0,1,1
