innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,14,2,Kolkata Knight Riders,AD Russell,LH Ferguson,Vinod Seshan,wicket,upheld,False
2,17,4,Kolkata Knight Riders,SS Prabhudessai,CV Varun,Vinod Seshan,wicket,struck down,False
2,20,2,Kolkata Knight Riders,KV Sharma,MA Starc,A Totre,wicket,struck down,False
