innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,14,1,Chennai Super Kings,SK Raina,Rashid Khan,UV Gandhe,,struck down,True
1,14,4,Chennai Super Kings,KM Jadhav,Rashid Khan,UV Gandhe,,struck down,True
1,17,6,Sunrisers Hyderabad,AT Rayudu,Rashid Khan,IJ Gould,,struck down,True
