innings,over,ball,team,player_in,player_out,reason
2,1,1,Gujarat Titans,M Prasidh Krishna,R Tewatia,impact_player
2,1,1,Royal Challengers Bengaluru,JG Bethell,Suyash Sharma,impact_player
