match_number,date,opponent,catches,stumpings,run_outs
3,2019-03-24,Mumbai Indians,1,1,0
5,2019-03-26,Chennai Super Kings,2,1,0
10,2019-03-30,Kolkata Knight Riders,2,0,0
13,2019-04-01,Kings XI Punjab,2,0,0
20,2019-04-07,Royal Challengers Bangalore,2,1,0
26,2019-04-12,Kolkata Knight Riders,1,0,0
30,2019-04-14,Sunrisers Hyderabad,1,0,0
34,2019-04-18,Mumbai Indians,2,0,0
37,2019-04-20,Kings XI Punjab,0,2,0
46,2019-04-28,Royal Challengers Bangalore,2,0,0
53,2019-05-04,Rajasthan Royals,2,1,0
58,2019-05-08,Sunrisers Hyderabad,1,0,0
