match_number,date,opponent,venue,result,margin
5,2010-03-14,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",lost,by 31 runs
8,2010-03-16,Kolkata Knight Riders,Eden Gardens,won,by 55 runs
11,2010-03-19,Delhi Daredevils,Feroz Shah Kotla,won,by 5 wickets
16,2010-03-21,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",no result,
18,2010-03-23,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 36 runs
21,2010-03-25,Mumbai Indians,"Brabourne Stadium, Mumbai",lost,by 5 wickets
24,2010-03-28,Rajasthan Royals,"Sardar Patel Stadium, Motera",lost,by 17 runs
28,2010-03-31,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
32,2010-04-03,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",won,by 23 runs
37,2010-04-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",won,by 24 runs
42,2010-04-10,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",lost,by 6 wickets
48,2010-04-13,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",won,by 9 wickets
50,2010-04-15,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",lost,by 6 wickets
54,2010-04-18,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,won,by 6 wickets
58,2010-04-22,Deccan Chargers,Dr DY Patil Sports Academy,won,by 38 runs
60,2010-04-25,Mumbai Indians,Dr DY Patil Sports Academy,won,by 22 runs
