match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2023-04-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,5,0,0,40.0,b Umran Malik,4
8,2023-04-05,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",21,26,1,0,80.77,b NT Ellis,5
17,2023-04-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",38,26,5,0,146.15,c DP Conway b RA Jadeja,3
23,2023-04-16,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",26,25,2,2,104.0,c MM Sharma b Rashid Khan,3
26,2023-04-19,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",26,21,4,0,123.81,c N Pooran b Avesh Khan,4
32,2023-04-23,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",52,34,7,1,152.94,c V Kohli b DJ Willey,3
37,2023-04-27,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",27,13,5,0,207.69,not out,6
42,2023-04-30,Mumbai Indians,"Wankhede Stadium, Mumbai",2,4,0,0,50.0,b PP Chawla,4
48,2023-05-05,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",12,12,1,0,100.0,b Noor Ahmad,4
60,2023-05-14,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",4,4,1,0,100.0,c Mohammed Siraj b MG Bracewell,5
66,2023-05-19,Punjab Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",51,30,5,3,170.0,c Harpreet Brar b Arshdeep Singh,3
