position,team,played,won,lost,no_result,net_run_rate,points
1,Gujarat Titans,16,12,4,0,0.357,24
2,Rajasthan Royals,17,10,7,0,0.228,20
3,Lucknow Super Giants,15,9,6,0,0.188,18
4,Royal Challengers Bangalore,16,9,7,0,-0.242,18
5,Delhi Capitals,14,7,7,0,0.204,14
6,Punjab Kings,14,7,7,0,0.126,14
7,Kolkata Knight Riders,14,6,8,0,0.146,12
8,Sunrisers Hyderabad,14,6,8,0,-0.379,12
9,Chennai Super Kings,14,4,10,0,-0.203,8
10,Mumbai Indians,14,4,10,0,-0.506,8
