innings,team,wicket_number,batter_1,batter_1_runs,batter_1_balls,batter_2,batter_2_runs,batter_2_balls,extras,total_runs,total_balls
1,Lucknow Super Giants,1,JP Inglis,16,6,AA Kulkarni,0,1,0,16,7
1,Lucknow Super Giants,2,N Pooran,2,7,JP Inglis,0,3,2,4,10
1,Lucknow Super Giants,3,A Badoni,43,18,JP Inglis,5,5,1,49,23
1,Lucknow Super Giants,4,RR Pant,26,22,JP Inglis,37,21,2,65,43
1,Lucknow Super Giants,5,Abdul Samad,19,10,JP Inglis,14,9,2,35,19
1,Lucknow Super Giants,6,Abdul Samad,2,2,MD Choudhary,1,3,0,3,5
1,Lucknow Super Giants,7,Arjun Tendulkar,5,5,Abdul Samad,16,8,3,24,13
2,Punjab Kings,1,Priyansh Arya,0,1,P Simran Singh,0,0,0,0,1
2,Punjab Kings,2,C Connolly,18,10,P Simran Singh,2,3,2,22,13
2,Punjab Kings,3,SS Iyer,72,40,P Simran Singh,67,36,1,140,76
2,Punjab Kings,4,SS Iyer,29,11,Suryansh Shedge,9,7,0,38,18
