match_number,date,opponent,catches,stumpings,run_outs
2,2022-03-27,Delhi Capitals,1,0,0
9,2022-04-02,Rajasthan Royals,1,0,1
26,2022-04-16,Lucknow Super Giants,1,0,0
33,2022-04-21,Chennai Super Kings,1,0,0
44,2022-04-30,Rajasthan Royals,1,0,0
51,2022-05-06,Gujarat Titans,0,0,2
56,2022-05-09,Kolkata Knight Riders,2,0,0
59,2022-05-12,Chennai Super Kings,3,0,1
69,2022-05-21,Delhi Capitals,3,0,0
