innings,team,phase,runs,wickets,balls,run_rate,boundaries,dots
1,Sunrisers Hyderabad,death,78,3,30,15.6,12,6
1,Sunrisers Hyderabad,middle,114,2,54,12.67,16,9
1,Sunrisers Hyderabad,powerplay,94,1,36,15.67,18,9
2,Rajasthan Royals,death,73,1,30,14.6,9,6
2,Rajasthan Royals,middle,92,2,54,10.22,12,19
2,Rajasthan Royals,powerplay,77,3,36,12.83,14,14
