match_number,date,venue,team_1,team_2
1,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Sunrisers Hyderabad
2,2026-03-29,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders
3,2026-03-30,"ACA Stadium, Guwahati",Rajasthan Royals,Chennai Super Kings
4,2026-03-31,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Gujarat Titans
5,2026-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals
6,2026-04-02,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad
7,2026-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings
8,2026-04-04,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians
9,2026-04-04,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Rajasthan Royals
10,2026-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants
11,2026-04-05,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings
12,2026-04-06,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings
13,2026-04-07,"ACA Stadium, Guwahati",Rajasthan Royals,Mumbai Indians
14,2026-04-08,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans
15,2026-04-09,"Eden Gardens, Kolkata",Kolkata Knight Riders,Lucknow Super Giants
16,2026-04-10,"ACA Stadium, Guwahati",Rajasthan Royals,Royal Challengers Bengaluru
17,2026-04-11,"New International Cricket Stadium, New Chandigarh",Punjab Kings,Sunrisers Hyderabad
18,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals
19,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans
20,2026-04-12,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bengaluru
21,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals
22,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders
