innings,team,wicket_number,player_out,score,over
1,Delhi Capitals,1,PP Shaw,35,4.3
1,Delhi Capitals,2,S Dhawan,103,13.2
1,Delhi Capitals,3,RR Pant,127,15.5
1,Delhi Capitals,4,SS Iyer,129,16.3
1,Delhi Capitals,5,CA Ingram,141,17.5
2,Royal Challengers Bangalore,1,PA Patel,63,6.5
2,Royal Challengers Bangalore,2,V Kohli,68,8.2
2,Royal Challengers Bangalore,3,AB de Villiers,103,12.3
2,Royal Challengers Bangalore,4,H Klaasen,108,13.2
2,Royal Challengers Bangalore,5,S Dube,111,13.6
2,Royal Challengers Bangalore,6,Gurkeerat Singh,160,19.4
2,Royal Challengers Bangalore,7,Washington Sundar,164,20.2
