match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
2,2015-04-09,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",4,2,1,0,200.0,c Yuvraj Singh b NM Coulter-Nile,2
4,2015-04-11,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",100,56,7,9,178.57,not out,2
12,2015-04-17,Mumbai Indians,Wankhede Stadium,46,20,6,2,230.0,c R Vinay Kumar b Harbhajan Singh,2
15,2015-04-19,Rajasthan Royals,"Sardar Patel Stadium, Motera",12,7,3,0,171.43,c JP Faulkner b PV Tambe,2
20,2015-04-22,Royal Challengers Bangalore,M Chinnaswamy Stadium,4,6,1,0,66.67,c RR Rossouw b YS Chahal,2
24,2015-04-25,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",66,44,8,3,150.0,c DA Miller b AR Patel,2
28,2015-04-28,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",19,14,3,1,135.71,lbw b PP Chawla,2
30,2015-04-30,Kolkata Knight Riders,Eden Gardens,32,12,3,3,266.67,lbw b GB Hogg,2
34,2015-05-02,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",12,5,3,0,240.0,b B Kumar,2
37,2015-05-04,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",20,15,4,0,133.33,c Iqbal Abdulla b D Wiese,2
43,2015-05-08,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",23,11,3,1,209.09,c HH Pandya b R Vinay Kumar,2
47,2015-05-10,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",81,61,7,4,132.79,c Ankit Sharma b CH Morris,2
49,2015-05-12,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,11,21,1,0,52.38,c JP Duminy b Z Khan,2
53,2015-05-16,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",6,6,1,0,100.0,b BE Hendricks,2
