match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2024-03-24,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",3,4,0,0,75.0,c Dhruv Jurel b R Ashwin,7
11,2024-03-30,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",19,12,0,2,158.33,b RD Chahar,4
15,2024-04-02,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",24,15,1,2,160.0,c Mayank Dagar b GJ Maxwell,4
21,2024-04-07,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",58,43,4,2,134.88,c BR Sharath b DG Nalkande,4
26,2024-04-12,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,10,1,0,80.0,c I Sharma b Kuldeep Yadav,4
28,2024-04-14,Kolkata Knight Riders,"Eden Gardens, Kolkata",10,5,2,0,200.0,c PD Salt b CV Varun,5
34,2024-04-19,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,7,1,0,114.29,not out,4
39,2024-04-23,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",124,63,13,6,196.83,not out,3
44,2024-04-27,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,4,0,0,0.0,b Sandeep Sharma,3
48,2024-04-30,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",62,45,7,2,137.78,c Tilak Varma b Mohammad Nabi,3
54,2024-05-05,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",36,21,4,2,171.43,c Harshit Rana b AD Russell,3
57,2024-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,5,0,0,60.0,c Sanvir Singh b B Kumar,3
64,2024-05-14,Delhi Capitals,"Arun Jaitley Stadium, Delhi",5,7,1,0,71.43,st RR Pant b AR Patel,3
67,2024-05-17,Mumbai Indians,"Wankhede Stadium, Mumbai",28,22,5,0,127.27,lbw b PP Chawla,3
