match_number,date,opponent,venue,result,margin
1,2013-04-03,Delhi Daredevils,Eden Gardens,won,by 6 wickets
8,2013-04-08,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 19 runs
12,2013-04-11,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 8 wickets
17,2013-04-14,Sunrisers Hyderabad,Eden Gardens,won,by 48 runs
20,2013-04-16,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",lost,by 4 runs
26,2013-04-20,Chennai Super Kings,Eden Gardens,lost,by 4 wickets
33,2013-04-24,Mumbai Indians,Eden Gardens,lost,by 5 wickets
35,2013-04-26,Kings XI Punjab,Eden Gardens,won,by 6 wickets
38,2013-04-28,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",lost,by 14 runs
44,2013-05-01,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,lost,by 7 wickets
47,2013-05-03,Rajasthan Royals,Eden Gardens,won,by 8 wickets
53,2013-05-07,Mumbai Indians,Wankhede Stadium,lost,by 65 runs
56,2013-05-09,Pune Warriors,Subrata Roy Sahara Stadium,won,by 46 runs
60,2013-05-12,Royal Challengers Bangalore,JSCA International Stadium Complex,won,by 5 wickets
65,2013-05-15,Pune Warriors,JSCA International Stadium Complex,lost,by 7 runs
72,2013-05-19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",lost,by 5 wickets
