match_number,date,opponent,venue,result,margin
3,2018-04-08,Royal Challengers Bangalore,Eden Gardens,won,by 4 wickets
5,2018-04-10,Chennai Super Kings,MA Chidambaram Stadium,lost,by 5 wickets
10,2018-04-14,Sunrisers Hyderabad,Eden Gardens,lost,by 5 wickets
13,2018-04-16,Delhi Daredevils,Eden Gardens,won,by 71 runs
15,2018-04-18,Rajasthan Royals,Sawai Mansingh Stadium,won,by 7 wickets
18,2018-04-21,Kings XI Punjab,Eden Gardens,lost,by 9 wickets
26,2018-04-27,Delhi Daredevils,Arun Jaitley Stadium,lost,by 55 runs
29,2018-04-29,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 6 wickets
33,2018-05-03,Chennai Super Kings,Eden Gardens,won,by 6 wickets
37,2018-05-06,Mumbai Indians,Wankhede Stadium,lost,by 13 runs
41,2018-05-09,Mumbai Indians,Eden Gardens,lost,by 102 runs
44,2018-05-12,Kings XI Punjab,Holkar Cricket Stadium,won,by 31 runs
49,2018-05-15,Rajasthan Royals,Eden Gardens,won,by 6 wickets
54,2018-05-19,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,won,by 5 wickets
58,2018-05-23,Rajasthan Royals,Eden Gardens,won,by 25 runs
59,2018-05-25,Sunrisers Hyderabad,Eden Gardens,lost,by 14 runs
