match_number,date,opponent,venue,result,margin
4,2018-04-09,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lost,by 9 wickets
6,2018-04-11,Delhi Daredevils,Sawai Mansingh Stadium,won,by 10 runs
11,2018-04-15,Royal Challengers Bangalore,M.Chinnaswamy Stadium,won,by 19 runs
15,2018-04-18,Kolkata Knight Riders,Sawai Mansingh Stadium,lost,by 7 wickets
17,2018-04-20,Chennai Super Kings,Maharashtra Cricket Association Stadium,lost,by 64 runs
21,2018-04-22,Mumbai Indians,Sawai Mansingh Stadium,won,by 3 wickets
28,2018-04-29,Sunrisers Hyderabad,Sawai Mansingh Stadium,lost,by 11 runs
32,2018-05-02,Delhi Daredevils,Arun Jaitley Stadium,lost,by 4 runs
38,2018-05-06,Kings XI Punjab,Holkar Cricket Stadium,lost,by 6 wickets
40,2018-05-08,Kings XI Punjab,Sawai Mansingh Stadium,won,by 15 runs
43,2018-05-11,Chennai Super Kings,Sawai Mansingh Stadium,won,by 4 wickets
47,2018-05-13,Mumbai Indians,Wankhede Stadium,won,by 7 wickets
49,2018-05-15,Kolkata Knight Riders,Eden Gardens,lost,by 6 wickets
53,2018-05-19,Royal Challengers Bangalore,Sawai Mansingh Stadium,won,by 30 runs
58,2018-05-23,Kolkata Knight Riders,Eden Gardens,lost,by 25 runs
