match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
5,2012-04-07,Delhi Daredevils,M Chinnaswamy Stadium,64,42,6,2,152.38,not out,4
10,2012-04-10,Kolkata Knight Riders,M Chinnaswamy Stadium,10,10,1,0,100.0,b L Balaji,4
13,2012-04-12,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",4,2,1,0,200.0,c SB Jakati b JA Morkel,4
18,2012-04-15,Rajasthan Royals,M Chinnaswamy Stadium,6,9,0,0,66.67,b SK Trivedi,4
21,2012-04-17,Pune Warriors,M Chinnaswamy Stadium,33,14,2,3,235.71,not out,6
25,2012-04-20,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",52,39,6,0,133.33,lbw b PP Chawla,5
30,2012-04-23,Rajasthan Royals,Sawai Mansingh Stadium,59,23,3,5,256.52,not out,5
38,2012-04-28,Kolkata Knight Riders,Eden Gardens,0,1,0,0,0.0,c LR Shukla b JH Kallis,4
44,2012-05-02,Kings XI Punjab,M Chinnaswamy Stadium,17,13,1,1,130.77,c PP Chawla b Azhar Mahmood,4
50,2012-05-06,Deccan Chargers,M Chinnaswamy Stadium,47,17,5,3,276.47,not out,5
57,2012-05-11,Pune Warriors,Subrata Roy Sahara Stadium,9,4,0,1,225.0,not out,5
62,2012-05-14,Mumbai Indians,M Chinnaswamy Stadium,14,13,1,0,107.69,c SL Malinga b KA Pollard,5
71,2012-05-20,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",4,11,0,0,36.36,c JP Duminy b A Mishra,5
