innings,team,batter,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
1,Royal Challengers Bangalore,BB McCullum,43,27,6,2,159.26,b SP Narine,1
1,Royal Challengers Bangalore,Q de Kock,4,4,1,0,100.0,c R Vinay Kumar b PP Chawla,2
1,Royal Challengers Bangalore,V Kohli,31,33,1,1,93.94,b N Rana,3
1,Royal Challengers Bangalore,AB de Villiers,44,23,1,5,191.3,c MG Johnson b N Rana,4
1,Royal Challengers Bangalore,SN Khan,6,10,0,0,60.0,c RK Singh b MG Johnson,5
1,Royal Challengers Bangalore,Mandeep Singh,37,18,4,2,205.56,c Kuldeep Yadav b R Vinay Kumar,6
1,Royal Challengers Bangalore,CR Woakes,5,5,1,0,100.0,c AD Russell b R Vinay Kumar,7
2,Kolkata Knight Riders,SP Narine,50,19,4,5,263.16,b UT Yadav,1
2,Kolkata Knight Riders,CA Lynn,5,8,1,0,62.5,c AB de Villiers b CR Woakes,2
2,Kolkata Knight Riders,RV Uthappa,13,12,0,1,108.33,c BB McCullum b UT Yadav,3
2,Kolkata Knight Riders,N Rana,34,25,2,2,136.0,lbw b Washington Sundar,4
2,Kolkata Knight Riders,KD Karthik,35,29,4,0,120.69,not out,5
2,Kolkata Knight Riders,RK Singh,6,6,1,0,100.0,c Q de Kock b CR Woakes,6
2,Kolkata Knight Riders,AD Russell,15,11,2,1,136.36,c AB de Villiers b CR Woakes,7
2,Kolkata Knight Riders,R Vinay Kumar,6,3,1,0,200.0,not out,8
