innings,over,ball,team,batter,bowler,umpire,type,decision,umpires_call
1,12,1,Royal Challengers Bangalore,AB de Villiers,MG Johnson,C Shamshuddin,,upheld,False
2,15,3,Kolkata Knight Riders,N Rana,Washington Sundar,C Shamshuddin,,struck down,True
2,16,4,Royal Challengers Bangalore,RK Singh,CR Woakes,A Deshmukh,,upheld,False
