match_number,date,opponent,venue,result,margin
5,2013-04-06,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",lost,by 9 runs
11,2013-04-10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",won,by 10 wickets
16,2013-04-13,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",won,by 4 wickets
19,2013-04-15,Pune Warriors,"MA Chidambaram Stadium, Chepauk",lost,by 24 runs
24,2013-04-18,Delhi Daredevils,Feroz Shah Kotla,won,by 86 runs
26,2013-04-20,Kolkata Knight Riders,Eden Gardens,won,by 4 wickets
30,2013-04-22,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
34,2013-04-25,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",won,by 5 wickets
38,2013-04-28,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",won,by 14 runs
42,2013-04-30,Pune Warriors,Subrata Roy Sahara Stadium,won,by 37 runs
45,2013-05-02,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",won,by 15 runs
49,2013-05-05,Mumbai Indians,Wankhede Stadium,lost,by 60 runs
54,2013-05-08,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",won,by 77 runs
61,2013-05-12,Rajasthan Royals,Sawai Mansingh Stadium,lost,by 5 wickets
64,2013-05-14,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",won,by 33 runs
70,2013-05-18,Royal Challengers Bangalore,M Chinnaswamy Stadium,lost,by 24 runs
73,2013-05-21,Mumbai Indians,Feroz Shah Kotla,won,by 48 runs
76,2013-05-26,Mumbai Indians,Eden Gardens,lost,by 23 runs
