match_number,date,opponent,venue,runs,balls,fours,sixes,strike_rate,dismissal,batting_position
4,2025-03-24,Lucknow Super Giants,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,5,0,0,40.0,c RR Pant b Ravi Bishnoi,9
29,2025-04-13,Mumbai Indians,"Arun Jaitley Stadium, Delhi",1,1,0,0,100.0,not out,9
35,2025-04-19,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2,2,0,0,100.0,not out,9
48,2025-04-29,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",0,1,0,0,0.0,c Rahmanullah Gurbaz b CV Varun,9
55,2025-05-05,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,1,0,0,100.0,not out,9
